goos: linux
goarch: amd64
pkg: github.com/ethereum/go-ethereum/core/vm
cpu: Intel(R) Core(TM) i5-4460  CPU @ 3.20GHz
BenchmarkPrecompiledIdentity/128-Gas=27-4           	18839368	        65.36 ns/op	        27.00 gas/op	       413.1 mgas/s	     128 B/op	       1 allocs/op
BenchmarkPrecompiledModExp/eip_example1-Gas=13056-4 	   35262	     33670 ns/op	     13056 gas/op	       387.7 mgas/s	    2672 B/op	      39 allocs/op
BenchmarkPrecompiledModExp/eip_example1-Gas=13056-4 	   35426	     33668 ns/op	     13056 gas/op	       387.8 mgas/s	    2672 B/op	      39 allocs/op
BenchmarkPrecompiledModExp/eip_example1-Gas=13056-4 	   35002	     33440 ns/op	     13056 gas/op	       390.4 mgas/s	    2672 B/op	      39 allocs/op
BenchmarkPrecompiledModExp/eip_example1-Gas=13056-4 	   35827	     33304 ns/op	     13056 gas/op	       392.0 mgas/s	    2672 B/op	      39 allocs/op
BenchmarkPrecompiledModExp/eip_example1-Gas=13056-4 	   35455	     34131 ns/op	     13056 gas/op	       382.5 mgas/s	    2672 B/op	      39 allocs/op
BenchmarkPrecompiledModExp/eip_example1-Gas=13056-4 	   35449	     34046 ns/op	     13056 gas/op	       383.5 mgas/s	    2672 B/op	      39 allocs/op
BenchmarkPrecompiledModExp/eip_example1-Gas=13056-4 	   35367	     34099 ns/op	     13056 gas/op	       382.9 mgas/s	    2672 B/op	      39 allocs/op
BenchmarkPrecompiledModExp/eip_example1-Gas=13056-4 	   35580	     34408 ns/op	     13056 gas/op	       379.4 mgas/s	    2672 B/op	      39 allocs/op
BenchmarkPrecompiledModExp/eip_example1-Gas=13056-4 	   35150	     34044 ns/op	     13056 gas/op	       383.5 mgas/s	    2672 B/op	      39 allocs/op
BenchmarkPrecompiledModExp/eip_example1-Gas=13056-4 	   35258	     34565 ns/op	     13056 gas/op	       377.7 mgas/s	    2672 B/op	      39 allocs/op
BenchmarkPrecompiledModExp/eip_example2-Gas=13056-4 	 1259994	       960.9 ns/op	     13056 gas/op	     13587 mgas/s	     688 B/op	      15 allocs/op
BenchmarkPrecompiledModExp/eip_example2-Gas=13056-4 	 1265829	       945.3 ns/op	     13056 gas/op	     13811 mgas/s	     688 B/op	      15 allocs/op
BenchmarkPrecompiledModExp/eip_example2-Gas=13056-4 	 1272442	       959.6 ns/op	     13056 gas/op	     13606 mgas/s	     688 B/op	      15 allocs/op
BenchmarkPrecompiledModExp/eip_example2-Gas=13056-4 	 1281528	       937.0 ns/op	     13056 gas/op	     13933 mgas/s	     688 B/op	      15 allocs/op
BenchmarkPrecompiledModExp/eip_example2-Gas=13056-4 	 1290110	       950.6 ns/op	     13056 gas/op	     13734 mgas/s	     688 B/op	      15 allocs/op
BenchmarkPrecompiledModExp/eip_example2-Gas=13056-4 	 1270834	       944.4 ns/op	     13056 gas/op	     13825 mgas/s	     688 B/op	      15 allocs/op
BenchmarkPrecompiledModExp/eip_example2-Gas=13056-4 	 1277103	       956.0 ns/op	     13056 gas/op	     13656 mgas/s	     688 B/op	      15 allocs/op
BenchmarkPrecompiledModExp/eip_example2-Gas=13056-4 	 1296153	       962.9 ns/op	     13056 gas/op	     13559 mgas/s	     688 B/op	      15 allocs/op
BenchmarkPrecompiledModExp/eip_example2-Gas=13056-4 	 1270186	       954.5 ns/op	     13056 gas/op	     13678 mgas/s	     688 B/op	      15 allocs/op
